"Big5 碼",造字圖,"IDS (請參考 http://goo.gl/3D2uoE)","IDS 動態圖片","ref 剎那字引: http://nccu.ksana.tw/kzy/",備註,,
B+99e1,"{image: https://g0v.github.io/koktai/img/k/99e1.png}",⿱艹ㄐ,"{image: http://漢字.意傳.台灣/宋體/⿱艹ㄐ.png}",,這個需要review,,
B+9a54,"{image: https://g0v.github.io/koktai/img/k/9a54.png}",⿰火忽,"{image: http://漢字.意傳.台灣/宋體/⿰火忽.png}",,,,
B+9a66,"{image: https://g0v.github.io/koktai/img/k/9a66.png}",⿰米龜,"{image: http://漢字.意傳.台灣/宋體/⿰米龜.png}",,,,
B+9a7b,"{image: https://g0v.github.io/koktai/img/k/9a7b.png}",,,,,,
B+9a7d,"{image: https://g0v.github.io/koktai/img/k/9a7d.png}",⿳厶大土,"{image: http://漢字.意傳.台灣/宋體/⿳厶大土.png}",,,,
B+9aa2,"{image: https://g0v.github.io/koktai/img/k/9aa2.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,要尋找左邊的部件,,
B+9ab1,"{image: https://g0v.github.io/koktai/img/k/9ab1.png}",⿰忄嚴,"{image: http://漢字.意傳.台灣/宋體/⿰忄嚴.png}",,,,
B+9ab6,"{image: https://g0v.github.io/koktai/img/k/9ab6.png}",⿱兇夊,"{image: http://漢字.意傳.台灣/宋體/⿱兇夊.png}",,下面還要找更接近的部件,,
B+9acd,"{image: https://g0v.github.io/koktai/img/k/9acd.png}",⿰火厥,"{image: http://漢字.意傳.台灣/宋體/⿰火厥.png}",,,,
B+9acf,"{image: https://g0v.github.io/koktai/img/k/9acf.png}",⿰皮留,"{image: http://漢字.意傳.台灣/宋體/⿰皮留.png}",,,,
B+9ad7,"{image: https://g0v.github.io/koktai/img/k/9ad7.png}",⿰袞号,"{image: http://漢字.意傳.台灣/宋體/⿰袞号.png}",,,,
B+9aeb,"{image: https://g0v.github.io/koktai/img/k/9aeb.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,要找有無這個部件了,,
B+9af9,"{image: https://g0v.github.io/koktai/img/k/9af9.png}",⿰石卂,"{image: http://漢字.意傳.台灣/宋體/⿰石卂.png}",,引擎的描繪好像在這裡有bug,,
B+9b42,"{image: https://g0v.github.io/koktai/img/k/9b42.png}",⿰目函,"{image: http://漢字.意傳.台灣/宋體/⿰目函.png}",,,,
B+9b49,"{image: https://g0v.github.io/koktai/img/k/9b49.png}",⿰口怎,"{image: http://漢字.意傳.台灣/宋體/⿰口怎.png}",,,,
B+9b4b,"{image: https://g0v.github.io/koktai/img/k/9b4b.png}",⿰口皂,"{image: http://漢字.意傳.台灣/宋體/⿰口皂.png}",,,,
B+9b4d,"{image: https://g0v.github.io/koktai/img/k/9b4d.png}",⿰米攴,"{image: http://漢字.意傳.台灣/宋體/⿰米攴.png}",,,,
B+9b57,"{image: https://g0v.github.io/koktai/img/k/9b57.png}",⿰口柳,"{image: http://漢字.意傳.台灣/宋體/⿰口柳.png}",,,,
B+9b60,"{image: https://g0v.github.io/koktai/img/k/9b60.png}",⿲彳皮亇,"{image: http://漢字.意傳.台灣/宋體/⿲彳皮亇.png}",,,,
B+9ba7,"{image: https://g0v.github.io/koktai/img/k/9ba7.png}",⿰⻟堅,"{image: http://漢字.意傳.台灣/宋體/⿰⻟堅.png}",,,,
B+9c44,"{image: https://g0v.github.io/koktai/img/k/9c44.png}",⿵門丨,"{image: http://漢字.意傳.台灣/宋體/⿵門丨.png}",,,,
B+9c4a,"{image: https://g0v.github.io/koktai/img/k/9c4a.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,這也是要找的部件,,
B+9c71,"{image: https://g0v.github.io/koktai/img/k/9c71.png}",⿳口,"{image: http://漢字.意傳.台灣/宋體/⿳口.png}",,這也是要找部件,,
B+9c72,"{image: https://g0v.github.io/koktai/img/k/9c72.png}",⿰扌⿱京火,"{image: http://漢字.意傳.台灣/宋體/⿰扌⿱京火.png}",,,,
B+9c76,"{image: https://g0v.github.io/koktai/img/k/9c76.png}",⿱⿰⿱士⿱冖⿱一車殳心,"{image: http://漢字.意傳.台灣/宋體/⿱⿰⿱士⿱冖⿱一車殳心.png}",,,,
B+9c7d,"{image: https://g0v.github.io/koktai/img/k/9c7d.png}",⿱艹亅,"{image: http://漢字.意傳.台灣/宋體/⿱艹亅.png}",,,,
B+9ca4,"{image: https://g0v.github.io/koktai/img/k/9ca4.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,要找這個部件,,
B+9ca5,"{image: https://g0v.github.io/koktai/img/k/9ca5.png}",⿰貝喬,"{image: http://漢字.意傳.台灣/宋體/⿰貝喬.png}",,,,
B+9cb0,"{image: https://g0v.github.io/koktai/img/k/9cb0.png}",ㄥ,"{image: http://漢字.意傳.台灣/宋體/ㄥ.png}",,,,
B+9cba,"{image: https://g0v.github.io/koktai/img/k/9cba.png}",⿰角卬,"{image: http://漢字.意傳.台灣/宋體/⿰角卬.png}",,,,
B+9cbd,"{image: https://g0v.github.io/koktai/img/k/9cbd.png}",⿰口孱,"{image: http://漢字.意傳.台灣/宋體/⿰口孱.png}",,,,
B+9cc1,"{image: https://g0v.github.io/koktai/img/k/9cc1.png}",⿰金庫,"{image: http://漢字.意傳.台灣/宋體/⿰金庫.png}",,,,
B+9cc7,"{image: https://g0v.github.io/koktai/img/k/9cc7.png}",⿰肩犮,"{image: http://漢字.意傳.台灣/宋體/⿰肩犮.png}",,,,
B+9cd1,"{image: https://g0v.github.io/koktai/img/k/9cd1.png}",⿱⺮虛,"{image: http://漢字.意傳.台灣/宋體/⿱⺮虛.png}",,,,
B+9cdb,"{image: https://g0v.github.io/koktai/img/k/9cdb.png}",⿱彡儿,"{image: http://漢字.意傳.台灣/宋體/⿱彡儿.png}",,,,
B+9ce4,"{image: https://g0v.github.io/koktai/img/k/9ce4.png}",⺈,"{image: http://漢字.意傳.台灣/宋體/⺈.png}",,,,
B+9ce5,"{image: https://g0v.github.io/koktai/img/k/9ce5.png}",マ,"{image: http://漢字.意傳.台灣/宋體/マ.png}",,,,
B+9cea,"{image: https://g0v.github.io/koktai/img/k/9cea.png}",,,,,,
B+9d4a,"{image: https://g0v.github.io/koktai/img/k/9d4a.png}",⿰飠責,"{image: http://漢字.意傳.台灣/宋體/⿰飠責.png}",,,,
B+9d68,"{image: https://g0v.github.io/koktai/img/k/9d68.png}",⿰糸紊,"{image: http://漢字.意傳.台灣/宋體/⿰糸紊.png}",,,,
B+9d6c,"{image: https://g0v.github.io/koktai/img/k/9d6c.png}",⿰忄天,"{image: http://漢字.意傳.台灣/宋體/⿰忄天.png}",,,,
B+9d7c,"{image: https://g0v.github.io/koktai/img/k/9d7c.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,,,
B+9dcd,"{image: https://g0v.github.io/koktai/img/k/9dcd.png}",⿱宀儿,"{image: http://漢字.意傳.台灣/宋體/⿱宀儿.png}",,,,
B+9dcf,"{image: https://g0v.github.io/koktai/img/k/9dcf.png}",,,,,,
B+9dd1,"{image: https://g0v.github.io/koktai/img/k/9dd1.png}",⿱几,"{image: http://漢字.意傳.台灣/宋體/⿱几.png}",,也是缺部件,,
B+9dd3,"{image: https://g0v.github.io/koktai/img/k/9dd3.png}",⿰齒卬,"{image: http://漢字.意傳.台灣/宋體/⿰齒卬.png}",,,,
B+9dd4,"{image: https://g0v.github.io/koktai/img/k/9dd4.png}",⿰夫𠆤,"{image: http://漢字.意傳.台灣/宋體/⿰夫𠆤.png}",,,,
B+9dd8,"{image: https://g0v.github.io/koktai/img/k/9dd8.png}",⿳宀儿徼,"{image: http://漢字.意傳.台灣/宋體/⿳宀儿徼.png}",,,,
B+9de4,"{image: https://g0v.github.io/koktai/img/k/9de4.png}",⿰氵⿱缶,"{image: http://漢字.意傳.台灣/宋體/⿰氵⿱缶.png}",,,,
B+9ebd,"{image: https://g0v.github.io/koktai/img/k/9ebd.png}",⿰酉彥,"{image: http://漢字.意傳.台灣/宋體/⿰酉彥.png}",,,,
B+9ed5,"{image: https://g0v.github.io/koktai/img/k/9ed5.png}",,,,'218可能是⿰扌义的楷體，未來需要文字專家判定協助,,
B+9ee2,"{image: https://g0v.github.io/koktai/img/k/9ee2.png}",⿰示直,"{image: http://漢字.意傳.台灣/宋體/⿰示直.png}",,,,
B+9ee7,"{image: https://g0v.github.io/koktai/img/k/9ee7.png}",⿴囗清,"{image: http://漢字.意傳.台灣/宋體/⿴囗清.png}",,,,
B+9eec,"{image: https://g0v.github.io/koktai/img/k/9eec.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,,,
B+9efe,"{image: https://g0v.github.io/koktai/img/k/9efe.png}",⿰衤⿱艹奔,"{image: http://漢字.意傳.台灣/宋體/⿰衤⿱艹奔.png}",,,,
B+9f45,"{image: https://g0v.github.io/koktai/img/k/9f45.png}",⿰骨突,"{image: http://漢字.意傳.台灣/宋體/⿰骨突.png}",,,,
B+9f46,"{image: https://g0v.github.io/koktai/img/k/9f46.png}",⿰釒幵,"{image: http://漢字.意傳.台灣/宋體/⿰釒幵.png}",,,,
B+9f50,"{image: https://g0v.github.io/koktai/img/k/9f50.png}",,,,,,
B+9f6a,"{image: https://g0v.github.io/koktai/img/k/9f6a.png}",⿰氵含,"{image: http://漢字.意傳.台灣/宋體/⿰氵含.png}",,,,
B+9f6d,"{image: https://g0v.github.io/koktai/img/k/9f6d.png}",⿰釒罕,"{image: http://漢字.意傳.台灣/宋體/⿰釒罕.png}",,,,
B+9fd0,"{image: https://g0v.github.io/koktai/img/k/9fd0.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,,,
B+9fd8,"{image: https://g0v.github.io/koktai/img/k/9fd8.png}",⿰⻊幵,"{image: http://漢字.意傳.台灣/宋體/⿰⻊幵.png}",,,,
B+a046,"{image: https://g0v.github.io/koktai/img/k/a046.png}",⿰月⿱禾夕,"{image: http://漢字.意傳.台灣/宋體/⿰月⿱禾夕.png}",,,,
B+a047,"{image: https://g0v.github.io/koktai/img/k/a047.png}",⿰言匈,"{image: http://漢字.意傳.台灣/宋體/⿰言匈.png}",,,,
B+a052,"{image: https://g0v.github.io/koktai/img/k/a052.png}",⿱十土,"{image: http://漢字.意傳.台灣/宋體/⿱十土.png}",,,,
B+a05c,"{image: https://g0v.github.io/koktai/img/k/a05c.png}",⿰忄⿱囪心,"{image: http://漢字.意傳.台灣/宋體/⿰忄⿱囪心.png}",,,,
B+a06b,"{image: https://g0v.github.io/koktai/img/k/a06b.png}",⿰口⿸灬,"{image: http://漢字.意傳.台灣/宋體/⿰口⿸灬.png}",,這裡也是缺部件的,,
B+a070,"{image: https://g0v.github.io/koktai/img/k/a070.png}",⿰口𩰬,"{image: http://漢字.意傳.台灣/宋體/⿰口𩰬.png}",,"右邊是U+29C2C  ，很多字型檔還未實作（Unicode3.1）",,
B+a073,"{image: https://g0v.github.io/koktai/img/k/a073.png}",⿱亠厶,"{image: http://漢字.意傳.台灣/宋體/⿱亠厶.png}",,,,
B+a07b,"{image: https://g0v.github.io/koktai/img/k/a07b.png}",⿳⿱冖石禾,"{image: http://漢字.意傳.台灣/宋體/⿳⿱冖石禾.png}",,這也是缺部件,,
B+a0bd,"{image: https://g0v.github.io/koktai/img/k/a0bd.png}",,,,,,
B+a0c3,"{image: https://g0v.github.io/koktai/img/k/a0c3.png}",⿳⿰工几寸,"{image: http://漢字.意傳.台灣/宋體/⿳⿰工几寸.png}",,,,
B+a0c7,"{image: https://g0v.github.io/koktai/img/k/a0c7.png}",⿰鼻支,"{image: http://漢字.意傳.台灣/宋體/⿰鼻支.png}",,,,
B+a0cd,"{image: https://g0v.github.io/koktai/img/k/a0cd.png}",⿱中一,"{image: http://漢字.意傳.台灣/宋體/⿱中一.png}",,,,
B+a0e0,"{image: https://g0v.github.io/koktai/img/k/a0e0.png}",⺋,"{image: http://漢字.意傳.台灣/宋體/⺋.png}",,,,
B+a0e5,"{image: https://g0v.github.io/koktai/img/k/a0e5.png}",⿱宀贑,"{image: http://漢字.意傳.台灣/宋體/⿱宀贑.png}",,,,
B+a0eb,"{image: https://g0v.github.io/koktai/img/k/a0eb.png}",⿰扌⿱刀臼,"{image: http://漢字.意傳.台灣/宋體/⿰扌⿱刀臼.png}",,,,
B+a0fd,"{image: https://g0v.github.io/koktai/img/k/a0fd.png}",⿰口欮,"{image: http://漢字.意傳.台灣/宋體/⿰口欮.png}",,,,
B+fa42,"{image: https://g0v.github.io/koktai/img/k/fa42.png}",⿰至甲,"{image: http://漢字.意傳.台灣/宋體/⿰至甲.png}",,,,
B+fa44,"{image: https://g0v.github.io/koktai/img/k/fa44.png}",⿰妻某,"{image: http://漢字.意傳.台灣/宋體/⿰妻某.png}",,,,
B+fa49,"{image: https://g0v.github.io/koktai/img/k/fa49.png}",⿰要卜,"{image: http://漢字.意傳.台灣/宋體/⿰要卜.png}",,,,
B+fa4b,"{image: https://g0v.github.io/koktai/img/k/fa4b.png}",⿰爿周,"{image: http://漢字.意傳.台灣/宋體/⿰爿周.png}",,,,
B+fa56,"{image: https://g0v.github.io/koktai/img/k/fa56.png}",⿰光金,"{image: http://漢字.意傳.台灣/宋體/⿰光金.png}",,,,
B+fa68,"{image: https://g0v.github.io/koktai/img/k/fa68.png}",⿱穴臼,"{image: http://漢字.意傳.台灣/宋體/⿱穴臼.png}",,,,
B+fa71,"{image: https://g0v.github.io/koktai/img/k/fa71.png}",⿱丙一,"{image: http://漢字.意傳.台灣/宋體/⿱丙一.png}",,,,
B+fab7,"{image: https://g0v.github.io/koktai/img/k/fab7.png}",⿰巴攵,"{image: http://漢字.意傳.台灣/宋體/⿰巴攵.png}",,,,
B+fac3,"{image: https://g0v.github.io/koktai/img/k/fac3.png}",⿰米兹,"{image: http://漢字.意傳.台灣/宋體/⿰米兹.png}",,,,
B+fac4,"{image: https://g0v.github.io/koktai/img/k/fac4.png}",⿲口舟殳,"{image: http://漢字.意傳.台灣/宋體/⿲口舟殳.png}",,,,
B+fac6,"{image: https://g0v.github.io/koktai/img/k/fac6.png}",⿰包攵,"{image: http://漢字.意傳.台灣/宋體/⿰包攵.png}",,,,
B+faca,"{image: https://g0v.github.io/koktai/img/k/faca.png}",⿰亦馬,"{image: http://漢字.意傳.台灣/宋體/⿰亦馬.png}",,,,
B+facb,"{image: https://g0v.github.io/koktai/img/k/facb.png}",⿰只个,"{image: http://漢字.意傳.台灣/宋體/⿰只个.png}",,,,
B+facc,"{image: https://g0v.github.io/koktai/img/k/facc.png}",,,,,,
B+fad0,"{image: https://g0v.github.io/koktai/img/k/fad0.png}",⿰美水,"{image: http://漢字.意傳.台灣/宋體/⿰美水.png}",,,,
B+fadf,"{image: https://g0v.github.io/koktai/img/k/fadf.png}",⿰⿱旦寸當,"{image: http://漢字.意傳.台灣/宋體/⿰⿱旦寸當.png}",,,,
B+faed,"{image: https://g0v.github.io/koktai/img/k/faed.png}",㴙,"{image: http://漢字.意傳.台灣/宋體/㴙.png}",,,,
B+faf1,"{image: https://g0v.github.io/koktai/img/k/faf1.png}",⿰口敝,"{image: http://漢字.意傳.台灣/宋體/⿰口敝.png}",,,,
B+faf4,"{image: https://g0v.github.io/koktai/img/k/faf4.png}",⿰扌卻,"{image: http://漢字.意傳.台灣/宋體/⿰扌卻.png}",,,,
B+fb43,"{image: https://g0v.github.io/koktai/img/k/fb43.png}",⿱⺮廣,"{image: http://漢字.意傳.台灣/宋體/⿱⺮廣.png}",,,,
B+fb49,"{image: https://g0v.github.io/koktai/img/k/fb49.png}",⿰勿愛,"{image: http://漢字.意傳.台灣/宋體/⿰勿愛.png}",,,,
B+fb4c,"{image: https://g0v.github.io/koktai/img/k/fb4c.png}",⿰日夭,"{image: http://漢字.意傳.台灣/宋體/⿰日夭.png}",,,,
B+fb50,"{image: https://g0v.github.io/koktai/img/k/fb50.png}",⿱此一,"{image: http://漢字.意傳.台灣/宋體/⿱此一.png}",,,,
B+fb51,"{image: https://g0v.github.io/koktai/img/k/fb51.png}",⿰孑艮,"{image: http://漢字.意傳.台灣/宋體/⿰孑艮.png}",,,,
B+fb64,"{image: https://g0v.github.io/koktai/img/k/fb64.png}",⿰目夅,"{image: http://漢字.意傳.台灣/宋體/⿰目夅.png}",,,,
B+fb65,"{image: https://g0v.github.io/koktai/img/k/fb65.png}",⿰言袞,"{image: http://漢字.意傳.台灣/宋體/⿰言袞.png}",,,,
B+fb69,"{image: https://g0v.github.io/koktai/img/k/fb69.png}",⿰目東,"{image: http://漢字.意傳.台灣/宋體/⿰目東.png}",,,,
B+fb6a,"{image: https://g0v.github.io/koktai/img/k/fb6a.png}",⿰目疑,"{image: http://漢字.意傳.台灣/宋體/⿰目疑.png}",,,,
B+fb6b,"{image: https://g0v.github.io/koktai/img/k/fb6b.png}",⿺毛昔,"{image: http://漢字.意傳.台灣/宋體/⿺毛昔.png}",,,,
B+fb71,"{image: https://g0v.github.io/koktai/img/k/fb71.png}",⿸疒小,"{image: http://漢字.意傳.台灣/宋體/⿸疒小.png}",,,,
B+fb73,"{image: https://g0v.github.io/koktai/img/k/fb73.png}",⿱午一,"{image: http://漢字.意傳.台灣/宋體/⿱午一.png}",,,,
B+fbb3,"{image: https://g0v.github.io/koktai/img/k/fbb3.png}",⿳⻗大韭,"{image: http://漢字.意傳.台灣/宋體/⿳⻗大韭.png}",,,,
B+fbba,"{image: https://g0v.github.io/koktai/img/k/fbba.png}",綳,"{image: http://漢字.意傳.台灣/宋體/綳.png}",,,,
B+fbbf,"{image: https://g0v.github.io/koktai/img/k/fbbf.png}",⿰月憲,"{image: http://漢字.意傳.台灣/宋體/⿰月憲.png}",,,,
B+fbc2,"{image: https://g0v.github.io/koktai/img/k/fbc2.png}",⿰扌冄,"{image: http://漢字.意傳.台灣/宋體/⿰扌冄.png}",,,,
B+fbcb,"{image: https://g0v.github.io/koktai/img/k/fbcb.png}",⿰口知,"{image: http://漢字.意傳.台灣/宋體/⿰口知.png}",,,,
B+fbcc,"{image: https://g0v.github.io/koktai/img/k/fbcc.png}",⿰月獻,"{image: http://漢字.意傳.台灣/宋體/⿰月獻.png}",,,,
B+fbcf,"{image: https://g0v.github.io/koktai/img/k/fbcf.png}",⿰扌閱,"{image: http://漢字.意傳.台灣/宋體/⿰扌閱.png}",,,,
B+fbd2,"{image: https://g0v.github.io/koktai/img/k/fbd2.png}",⿰歹奧,"{image: http://漢字.意傳.台灣/宋體/⿰歹奧.png}",,,,
B+fbdc,"{image: https://g0v.github.io/koktai/img/k/fbdc.png}",⿰扌林,"{image: http://漢字.意傳.台灣/宋體/⿰扌林.png}",,,,
B+fbf2,"{image: https://g0v.github.io/koktai/img/k/fbf2.png}",⿱月,"{image: http://漢字.意傳.台灣/宋體/⿱月.png}",,,,
B+fbf9,"{image: https://g0v.github.io/koktai/img/k/fbf9.png}",⿰骨亏,"{image: http://漢字.意傳.台灣/宋體/⿰骨亏.png}",,,,
B+fbfa,"{image: https://g0v.github.io/koktai/img/k/fbfa.png}",⿸疒粒,"{image: http://漢字.意傳.台灣/宋體/⿸疒粒.png}",,,,
B+fc4c,"{image: https://g0v.github.io/koktai/img/k/fc4c.png}",⿸疒勘,"{image: http://漢字.意傳.台灣/宋體/⿸疒勘.png}",,,,
B+fc50,"{image: https://g0v.github.io/koktai/img/k/fc50.png}",⿰扌,"{image: http://漢字.意傳.台灣/宋體/⿰扌.png}",,,,
B+fc68,"{image: https://g0v.github.io/koktai/img/k/fc68.png}",⿰氵⿸厂炎,"{image: http://漢字.意傳.台灣/宋體/⿰氵⿸厂炎.png}",,,,
B+fc72,"{image: https://g0v.github.io/koktai/img/k/fc72.png}",⿸疒產,"{image: http://漢字.意傳.台灣/宋體/⿸疒產.png}",,,,
B+fc77,"{image: https://g0v.github.io/koktai/img/k/fc77.png}",⿰米包,"{image: http://漢字.意傳.台灣/宋體/⿰米包.png}",,,,
B+fc7c,"{image: https://g0v.github.io/koktai/img/k/fc7c.png}",⿳艹⿱㇒因心,"{image: http://漢字.意傳.台灣/宋體/⿳艹⿱㇒因心.png}",,,,
B+fca8,"{image: https://g0v.github.io/koktai/img/k/fca8.png}",⿰布瓜,"{image: http://漢字.意傳.台灣/宋體/⿰布瓜.png}",,,,
B+fccb,"{image: https://g0v.github.io/koktai/img/k/fccb.png}",x,"{image: http://漢字.意傳.台灣/宋體/x.png}",,,,
B+fcd3,"{image: https://g0v.github.io/koktai/img/k/fcd3.png}",⿰亻狀,"{image: http://漢字.意傳.台灣/宋體/⿰亻狀.png}",,,,
B+fcda,"{image: https://g0v.github.io/koktai/img/k/fcda.png}",⿰不美,"{image: http://漢字.意傳.台灣/宋體/⿰不美.png}",,,,
B+fcdb,"{image: https://g0v.github.io/koktai/img/k/fcdb.png}",⿰勿美,"{image: http://漢字.意傳.台灣/宋體/⿰勿美.png}",,,,
B+fce0,"{image: https://g0v.github.io/koktai/img/k/fce0.png}",⿰⿺虎彡,"{image: http://漢字.意傳.台灣/宋體/⿰⿺虎彡.png}",,,,
B+fcf7,"{image: https://g0v.github.io/koktai/img/k/fcf7.png}",⿰⿱旦寸当,"{image: http://漢字.意傳.台灣/宋體/⿰⿱旦寸当.png}",,,,
B+fd78,"{image: https://g0v.github.io/koktai/img/k/fd78.png}",⿰亻⿱天韭,"{image: http://漢字.意傳.台灣/宋體/⿰亻⿱天韭.png}",,,,
B+fdc5,"{image: https://g0v.github.io/koktai/img/k/fdc5.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,,,
B+fdc7,"{image: https://g0v.github.io/koktai/img/k/fdc7.png}",,,,可能是錯別字，而且也沒有部件,,
B+fdf7,"{image: https://g0v.github.io/koktai/img/k/fdf7.png}",⿱⺮允,"{image: http://漢字.意傳.台灣/宋體/⿱⺮允.png}",,,,
B+fe4e,"{image: https://g0v.github.io/koktai/img/k/fe4e.png}",⿱⺮披,"{image: http://漢字.意傳.台灣/宋體/⿱⺮披.png}",,,,
B+fe6f,"{image: https://g0v.github.io/koktai/img/k/fe6f.png}",⿰衤南,"{image: http://漢字.意傳.台灣/宋體/⿰衤南.png}",,,,
B+fea7,"{image: https://g0v.github.io/koktai/img/k/fea7.png}",⿰扌向,"{image: http://漢字.意傳.台灣/宋體/⿰扌向.png}",,,,
B+fee5,"{image: https://g0v.github.io/koktai/img/k/fee5.png}",⿰扌衮,"{image: http://漢字.意傳.台灣/宋體/⿰扌衮.png}",,,,
B+feef,"{image: https://g0v.github.io/koktai/img/k/feef.png}",⿰扌⿺辶⿱八天,"{image: http://漢字.意傳.台灣/宋體/⿰扌⿺辶⿱八天.png}",,,,
B+fef7,"{image: https://g0v.github.io/koktai/img/k/fef7.png}",⿰扌⿺虎彡,"{image: http://漢字.意傳.台灣/宋體/⿰扌⿺虎彡.png}",,,,
B+fefa,"{image: https://g0v.github.io/koktai/img/k/fefa.png}",⿰尔我,"{image: http://漢字.意傳.台灣/宋體/⿰尔我.png}",,,,
