"Big5 碼",造字圖,"IDS (請參考 http://goo.gl/3D2uoE)","IDS 動態圖片","ref 剎那字引: http://nccu.ksana.tw/kzy/",備註,,
B+8eee,"{image: https://g0v.github.io/koktai/img/k/8eee.png}",⿰爪東,"{image: http://漢字.意傳.台灣/宋體/⿰爪東.png}",,,,
B+8f61,"{image: https://g0v.github.io/koktai/img/k/8f61.png}",,,,這個需要找到裡面那個的部件，還有外面那個部件，用全包含組,,
B+8f6f,"{image: https://g0v.github.io/koktai/img/k/8f6f.png}",⿰皮反,"{image: http://漢字.意傳.台灣/宋體/⿰皮反.png}",,,,
B+8f74,"{image: https://g0v.github.io/koktai/img/k/8f74.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,將來一樣得看unicode有無補完這部件囉,,
B+8fb1,"{image: https://g0v.github.io/koktai/img/k/8fb1.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,,,
B+8fb3,"{image: https://g0v.github.io/koktai/img/k/8fb3.png}",⿱囪心,"{image: http://漢字.意傳.台灣/宋體/⿱囪心.png}",,,,
B+8fbd,"{image: https://g0v.github.io/koktai/img/k/8fbd.png}",⿱彼土,"{image: http://漢字.意傳.台灣/宋體/⿱彼土.png}",,,,
B+8fbe,"{image: https://g0v.github.io/koktai/img/k/8fbe.png}",⿱彼一土,"{image: http://漢字.意傳.台灣/宋體/⿱彼一土.png}",,,,
B+8fc3,"{image: https://g0v.github.io/koktai/img/k/8fc3.png}",⿰⻊令,"{image: http://漢字.意傳.台灣/宋體/⿰⻊令.png}",,,,
B+8fc7,"{image: https://g0v.github.io/koktai/img/k/8fc7.png}",⿰⻊回,"{image: http://漢字.意傳.台灣/宋體/⿰⻊回.png}",,,,
B+8fed,"{image: https://g0v.github.io/koktai/img/k/8fed.png}",⿰虫乖,"{image: http://漢字.意傳.台灣/宋體/⿰虫乖.png}",,,,
B+8ff4,"{image: https://g0v.github.io/koktai/img/k/8ff4.png}",⿱流虫,"{image: http://漢字.意傳.台灣/宋體/⿱流虫.png}",,,,
B+8ff5,"{image: https://g0v.github.io/koktai/img/k/8ff5.png}",⿰虫荒,"{image: http://漢字.意傳.台灣/宋體/⿰虫荒.png}",,,,
B+9041,"{image: https://g0v.github.io/koktai/img/k/9041.png}",⿱一木,"{image: http://漢字.意傳.台灣/宋體/⿱一木.png}",,這個可能是「禾」的異寫，或者真的是另外一個字，可能要看前後文,原文為「茶」，下部從「木」、「荼」，下部從「X」,已修正
B+9066,"{image: https://g0v.github.io/koktai/img/k/9066.png}",⿰米祭,"{image: http://漢字.意傳.台灣/宋體/⿰米祭.png}",,,,
B+906d,"{image: https://g0v.github.io/koktai/img/k/906d.png}",⿸疒忝,"{image: http://漢字.意傳.台灣/宋體/⿸疒忝.png}",,,,
B+9072,"{image: https://g0v.github.io/koktai/img/k/9072.png}",⿱代土,"{image: http://漢字.意傳.台灣/宋體/⿱代土.png}",,,,
B+9073,"{image: https://g0v.github.io/koktai/img/k/9073.png}",⿰尞刂,"{image: http://漢字.意傳.台灣/宋體/⿰尞刂.png}",,,,
B+9075,"{image: https://g0v.github.io/koktai/img/k/9075.png}",⿱彼口,"{image: http://漢字.意傳.台灣/宋體/⿱彼口.png}",,,,
B+907d,"{image: https://g0v.github.io/koktai/img/k/907d.png}",⿰口僕,"{image: http://漢字.意傳.台灣/宋體/⿰口僕.png}",,,,
B+90a4,"{image: https://g0v.github.io/koktai/img/k/90a4.png}",⿰扌麻,"{image: http://漢字.意傳.台灣/宋體/⿰扌麻.png}",,,,
B+90a8,"{image: https://g0v.github.io/koktai/img/k/90a8.png}",⿸疒貓,"{image: http://漢字.意傳.台灣/宋體/⿸疒貓.png}",,,,
